ds,y
1,732.900024
2,731.150024
3,736.849976
4,734.700012
5,746
6,738.849976
7,727.900024
8,718.200012
9,727.549988
10,738.150024
11,773.549988
12,775.650024
13,767.549988
14,767
15,767.849976
16,768.450012
17,762.5
18,770.200012
19,784.349976
20,782.75
21,778.099976
22,778
23,789.700012
24,780.700012
25,775.950012
26,767.400024
27,787.849976
28,784.549988
29,771.349976
30,777.299988
31,773.200012
32,773.549988
33,781.049988
34,792.25
35,786.450012
36,789.450012
37,797.650024
38,800.450012
39,797
40,795.849976
41,798.400024
42,782.75
43,777.849976
44,731.700012
45,741.049988
46,747
47,758.75
48,754.599976
49,738.950012
50,704.450012
51,686
52,631.200012
53,642.349976
54,583.150024
55,554.950012
56,534.299988
57,545.549988
58,585.200012
59,526.450012
60,589.799988
61,606.200012
62,643
63,652.700012
64,626.700012
65,641.5
66,602.799988
67,585.700012
68,639
69,631.599976
70,636.25
71,637.400024
72,639.049988
73,623.849976
74,628.75
75,653.299988
76,633.200012
77,641.849976
78,679.299988
79,658
80,664.599976
81,660.700012
82,676.549988
83,715.5
84,673.700012
85,673.700012
86,665.900024
87,664.950012
88,674.200012
89,682.900024
90,687.650024
91,694.150024
92,658.150024
93,652.299988
94,663.900024
95,668.599976
96,669.549988
97,672.200012
98,692.349976
99,680.549988
100,705.450012
101,707.400024
102,691
103,699.549988
104,708.099976
105,701.549988
106,707.75
107,703.549988
108,720.849976
109,717.599976
110,715.849976
111,703.950012
112,692.049988
113,687.549988
114,701.200012
115,703.650024
116,713.900024
117,705.549988
118,703.700012
119,720.650024
120,714.150024
121,700.5
122,748.200012
123,731.75
124,735.950012
125,731.900024
126,756.599976
127,762.700012
128,764
129,794.150024
130,774.700012
131,781.700012
132,781.849976
133,797.049988
134,783.25
135,830.950012
136,911
137,903.150024
138,934.299988
139,936.75
140,917.900024
141,907.950012
142,922.849976
143,948.450012
144,962.849976
145,954.150024
146,961.450012
147,966
148,956.900024
149,949.849976
150,944.700012
151,970.849976
152,950.900024
153,951.349976
154,948.450012
155,954.950012
156,951.200012
157,953.599976
158,957.5
159,967.549988
160,959.299988
161,955.150024
162,948.799988
163,947.400024
164,938.099976
165,950.799988
166,947.049988
167,935.25
168,928.599976
169,914.150024
170,924
171,935.549988
172,919.150024
173,925.049988
174,939.299988
175,927.75
176,940.049988
177,945.700012
178,978.400024
179,982.450012
180,1001.75
181,1011
182,1002.150024
183,1009.900024
184,1007.5
185,1019.75
186,975.400024
187,1011.450012
188,1010.400024
189,1009
190,1008.25
191,1017.650024
192,1048.699951
193,1055.75
194,1066.550049
195,1093.699951
196,1106.800049
197,1132.099976
198,1157.800049
199,1137
200,1108.25
201,1127.5
202,1125.900024
203,1137.5
204,1148.349976
205,1129.050049
206,1122.5
207,1112.449951
208,1090.849976
209,1076.550049
210,1074.849976
211,1060.599976
212,1072.300049
213,1062.550049
214,1093.949951
215,1104
216,1112.75
217,1136.550049
218,1091.050049
219,1122.5
220,1117.75
221,1124.199951
222,1123.699951
223,1110.550049
224,1096.75
225,1103.349976
226,1139.849976
227,1140.050049
228,1115.650024
229,1113.199951
230,1100
231,1137.849976
232,1140.900024
233,1126.449951
234,1134.650024
235,1143.5
236,1153.349976
237,1175.199951
238,1167.75
239,1163.199951
240,1164.550049
241,1154.599976
242,1165.699951
243,1159.199951
244,1189.800049
245,1177.300049
246,1220.5
247,1253.050049
248,1236.050049
249,1240.300049
